keyword,page,position,id,type,name,brand,averageRating,manufacturerName,shortDescription,thumbnailUrl,price,currencyUnit
laptop,1,1,121VEFM85UC6,Laptop Computers,"HP Stream 14"" Laptop, Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC, Pink, Windows 11 (S mode) with Office 365 1-yr, 14-cf2112wm",HP,3.8,,"Product Details: Manufacturer: HP Series: Stream Model: 14-cf2112wm Screen Size: 14"" Touchscreen: NO Processor: Celeron N4020 Speed: 1.1GHz RAM: 4GB Solid State Drive: 64GB Operating System: Windows 11 Home",https://i5.walmartimages.com/seo/HP-Stream-14-Laptop-Intel-Celeron-N4020-Processor-4GB-RAM-64GB-eMMC-Pink-Windows-11-S-mode-with-Office-365-1-yr-14-cf2112wm_75f0c469-99df-47f0-9978-ebc32936a959.ec1b436bee290f22fe27861df0d7a947.jpeg,169,USD
laptop,1,28,6FLPLZSOEKXW,Laptop Computers,"Windows 10 Home Laptop Computer, XOPPOX 2022 Newest 13.5"" UHD 3000 x 2000 Clear Screen PC Laptops with Intel Celeron N4020 Dual Core 8GB RAM 128GB SSD for Students School Office, Gray",XOPPOX,4.5,,"<p>XOPPOX 13.5 Student PC Laptops</p>
<p>Debulk your backpack and blast through your day with this slim and lightweight 13.5-inch laptop with Windows 10 Home, powered by an Intel Celeron N4020 processor and 8GB RAM/128GB SSD.Designed to make essential computing simple, it balances HD screen fidelity with a compact desktop footprint that makes itself at home even in the smallest workspaces.</p>
<p>Series: KF1305</p>
<p>Brand: XOPPOX</p>
<p>Specific Uses For Product: Multimedia, Personal, Business</p>
<p>Screen Size: 13.5 Inches</p>
<p>Operating System: Windows 10 Home</p>
<p>Human Interface Input: Keyboard</p>
<p>CPU:Intel Celeron N4020, 1.1GHz~2.8GHz</p>
<p>GPU:Intel UHD Graphics 600</p>
<p>RAM:8GB LPDDR4</p>
<p>Memory: 128GB SSD</p>
<p>Screen:13.5"" 3000×2000 IPS</p>
<p>Battery: 5000 mAh,8 hours Last Time</p>
<p>0.3"" Micro-edge Bezels</p>
<p>Slim and Lightweight Design</p>
<p><br></p>
<p><b>Performance At Its Core: </b>Featuring Windows 10 Home and dual-core Intel Celeron Gemini Lake N4020 CPU(base frequency 1.1GHz, up to 2.8 GHz), the perfect combination of performance and power consumption helps your laptop computer run smoothly and reliably, you can enjoy videos or browse online efficiently</p>
<p><br></p>
<p><b>Narrow Bezels 3K IPS Screen:</b> 13.5"" Full HD 3000 x 2000 IPS clear display boasts impressive color and superior clarity. The 0.3inch Micro-edge bezel for wide viewing angles, making this Windows 10 chromebook laptop suitable for reading articles, browsing websites, and watch ing movies and series</p>
<p><br></p>
<p><b>Premium Storage for Intense Multitasking: </b>Powered by 8GB DDR4 RAM and 128GB SSD storage, the XOPPOX notebook offers an ideal platform for addressing various productivity and business tasks. With the Micro-SD(up to 256 GB) card slot, you can add and swap extra storage as required</p>
<p><br></p>
<p><b>Stay Connected Anywhere: </b>Video conferences, telecommuting, online classes, watching dramas at home can't do without stable WiFi5. Built-in 2.4G WiFi with IEEE 802.11 ac/b/g/n keeps XOPPOX business laptop going strong even as more devices join the network. Bluetooth 4.0 makes it free to connect with your Bluetooth speakers/earphones. Easy to connect with your TV or projector via HDMI, and the full-function Type-C port can support extending to connect with more USB ports</p>
<p><br></p>
<p><b>External Ports Meet All You Need: </b>Ready to connect to all your peripherals, this student laptop has connections in all the right places, including 1 x Type-C port, 2 x USB 3.0 ports, 1 x Micro HDMI, 1 x Headphone/ Microphone Combo Jack, 1 x DC port, and 1 x micro SD slot. With the lightest and slim design(weighs 2.58 lb and less than 1 inch thick), and up to 10 hours-lasting battery life gives you the flexibility to work or play</p>",https://i5.walmartimages.com/seo/Windows-10-Home-Laptop-Computer-XOPPOX-2022-Newest-13-5-UHD-3000-x-2000-Clear-Screen-PC-Laptops-Intel-Celeron-N4020-Dual-Core-8GB-RAM-128GB-SSD-Stude_827bf3a3-8955-4855-b794-0808ec13cba8.fb66c09e2c1f79510965a33e067b9e1d.jpeg,259.99,USD
laptop,1,32,74DSDU7Y9U2D,Laptop Computers,"Lenovo Ideapad Duet 3i 10.3"" FHD Touchscreen Laptop, Intel Celeron N4020, 4GB RAM, 64GB HD, Windows 11, Graphite Gray, 82AT00F0US",Lenovo,4.2,,"<p>With a detachable Bluetooth® keyboard and folio kickstand, you can detach yourself from the ordinary on the Lenovo IdeaPad™ Duet 3i and use your keyboard remotely from the tablet portion of the PC. Get outstanding performance for work and play from a laptop powered by Intel®. With an Intel® Celeron® processor in your laptop, you can effortlessly multitask with multi-screen capabilities, communicate easily with friends and family, and take all your favorite entertainment to go.</p>",https://i5.walmartimages.com/seo/Lenovo-Ideapad-Duet-3i-10-3-FHD-Touchscreen-Laptop-Intel-Celeron-N4020-4GB-RAM-64GB-HD-Windows-11-Graphite-Gray-82AT00F0US_d5a1fe20-127f-4dd3-a33f-ff08f36193f4.f454f603311bc35c0259d3b50cfde60f.png,246.99,USD
laptop,1,30,5DAX93RWL0GG,Laptop Computers,"ASUS C424MA Chromebook, 14"" FHD, Intel Celeron N4020, 4GB RAM, 64GB eMMC, Chrome OS, Silver, C424MA-WH44F",ASUS,4.5,,"ASUS Chromebook C424 is the simple way to boost your productivity and have more fun on the move - all day and every day.  This portable and lightweight 14"" Chromebook is powered by an Intel  Celeron processor and gives you the freedom of up to 10 hours battery life.  It also features a slim bezel design, which gives you a big screen in a compact chassis for easier multitasking and more immersive entertainment.  Preloaded wiht the best of Google, it provides you the gateway to the rich library of apps on Google Play.  With it's speedy perforemance, robust security and convenient features, it's not only perfect for students - it's ideal for anyone who's always on the go!",https://i5.walmartimages.com/seo/ASUS-C424MA-Chromebook-14-FHD-Intel-Celeron-N4020-4GB-RAM-64GB-eMMC-Chrome-OS-Silver-C424MA-WH44F_55063280-c311-40a0-9b96-7b6b1d445450.0fa4463027d8ead329cffc9c459643db.jpeg,186,USD
laptop,1,34,66AE4J1E35NO,Laptop Computers,"HP Stream 11.6"" Laptop Intel Celeron N4020 4GB RAM 64GB eMMC Diamond White - Intel Celeron N4020 Dual-core - Intel UHD Graphics 600 - Dual front facing Speakers - 25GB Dropbox Storage for 12 Mont",HP,4.4,,"<p>Celeron N4020 DC, UMA, 4GB OB Mem, 11.6"" HD, Non-Touch, 64GB eMMC, MISC NO ODD Win 2017, 802.11ac 2x2 BT, HD Webcam, Single digital mic, Standard, HD Audio, ACADPT 45 Watt Smart nPFC RA, BATT 2C 37.69 WHr, OPP Chassis/ID, Win11S, 1 Year Warranty Diamond White</p>",https://i5.walmartimages.com/seo/HP-Stream-11-6-Laptop-Intel-Celeron-N4020-4GB-RAM-64GB-eMMC-Diamond-White-Dual-core-UHD-Graphics-600-Dual-front-facing-Speakers-25GB-Dropbox-Storage_17d1c464-744d-4c68-a624-92050f302f5f.e89c87a855d5d28e3492044cb8103cb6.jpeg,189.99,USD
laptop,1,23,4TRA62NA312A,Laptop Computers,"HP 15.6"" Laptop, Intel Pentium Silver N5000, 16GB RAM, 1TB SSD, Windows 10 Home with Office , Scarlet Red",HP,,,"<p>Features:</p>
<p>Webcam</p>
<p>Operating System:</p>
<p>Windows 10 Home</p>
<p>Processor Type:</p>
<p>Intel Pentium Silver N5000</p>
<p>RAM Memory:</p>
<p>16 GB</p>
<p>Hard Drive Capacity</p>
<p>1TB:</p>
<p>Screen Size:</p>
<p>15.6""</p>
<p>Processor Core Type:</p>
<p>Quad Core</p>
<p>Battery Life:</p>
<p>10.45 h</p>
<p>Processor Speed:</p>
<p>1.1 GHz</p>
<p>Brand:</p>
<p>HP</p>
<p>Condition:</p>
<p>New</p>
<p>Product Line:</p>
<p>HP Laptop</p>
<p>Manufacturer:</p>
<p>HP</p>
<p>Processor Brand:</p>
<p>Intel</p>
<p>Wireless Technology:</p>
<p>802.11b</p>
<p>Assembled Product Dimensions (L x W x H):</p>
<p>14.11 x 9.53 x 0.78 Inches</p>",https://i5.walmartimages.com/seo/HP-15-6-Laptop-Intel-Pentium-Silver-N5000-16GB-RAM-1TB-SSD-Windows-10-Home-with-Office-Scarlet-Red_475e9531-bf3d-48cc-b487-186a118deb64.a69b7cda7c3a6837e344ab6186c1da2c.jpeg,476,USD
laptop,1,24,36P97C130NG7,Laptop Computers,"HP 14 Series 14"" Laptop - Intel Celeron N4020 - 4GB RAM - 64GB eMMC - Windows 10 Home in S mode - Snow White  14-dq0040nr (47X78UA#ABA)",HP,3.7,,"<ul><li><b>Overview | Do more from anywhere. All-day long.</b><br><br>Stay connected to what matters most with long-lasting battery life and thin and portable, micro-edge bezel design. Built to keep you productive and entertained from anywhere, the HP 14"" diagonal laptop features reliable performance and an expansive display - letting you stream, surf and speed through tasks from sun up to sun down.<br><br><b>Take it anywhere. See more.</b><br><br>With its thin and light design, 6.5 mm microedge bezel display, with its 78% screen to body ratio - take this PC anywhere and see and do more.<br><br><b>Powered up and productive. All day long.</b><br><br>With a long battery life and fast-charge technology, this laptop lets you work, watch, and stay connected all day. Integrated precision touchpad with multi-touch support speeds up both navigation and productivity.<br><br><b>Reliable performance for every day</b><br><br>Powerful enough for your busiest days, this PC features an Intel® processor and reliable flash-based storage at a great value.<br><br><b>Features | Windows 10 in S Mode</b><br><br>Experience the most secure Windows ever built. With fast boot times, increased responsiveness, and added protection against phishing and malicious software, applications run more smoothly.<br><br><b>Intel® Celeron processor</b><br><br>The perfect combination of performance, power consumption, and value helps your device run smoothly and reliably. Easily browse and download with up to four processing cores and Wi-Fi 6 options -all to meet your multitasking needs.<br><br><b>Brilliant BrightView panel</b><br><br>Perfect for an ideal indoor experience, get a bright, clear picture for all your videos, photos, and documents.<br><br><b>64 GB eMMC storage</b><br><br>An embedded Multimedia Card provides reliable fash-based storage at a great value. And without the moving parts of a traditional hard drive, theres a lower chance of failure and damage.<br><br><b>Wi-Fi 5 (1x1) &amp; Bluetooth® 4.2 (802.11a/b/g/n/ac)</b><br><br>Stay connected to Wi-Fi and to Bluetooth® accessories with wireless technology.<br><br><b>MU-MIMO supported</b><br><br>If you have several MU-MIMO devices in your home, MU-MIMO support works in combination with a MUMIMO router to maximize network traffic for a smoother online experience.</li></ul><p></p>",https://i5.walmartimages.com/seo/HP-14-Series-14-Laptop-Intel-Celeron-N4020-4GB-RAM-64GB-eMMC-Windows-10-Home-in-S-mode-Snow-White-14-dq0040nr-47X78UA-ABA_8688af7c-6acd-47e9-9bc7-a788e52fbc6a.ab8a115b355af63dcdd453b83eeff87e.jpeg,209,USD
laptop,1,25,1ZGQDN42X90H,Laptop Computers,"Dell Latitude 7490 Laptop Intel Core i5-8350U 1.90GHz, RAM 16 GB, 512 GB SSD, GPU: Intel UHD Graphics 620 (Used)",Dell,3.7,,"Condition: Good ------- *Charger Included* Have visible signs of use, with scratches on the outer case\ lids or bottom cover. No scratches on screen/keyboard. Excellent working condition. Brand: Dell Model: Latitude 7490 Processor: Intel Core i5-8350U Processor Generation: i5-8th Gen CPU: 1.90GHz Graphics: Intel(R) HD Graphics 620 Screen Size: 14"" Resolution: 1366 x 768 RAM: 16 GB Storage: 512 GB SSD Operating System: Windows 10 Pro",https://i5.walmartimages.com/seo/Dell-Latitude-7490-Laptop-Intel-Core-i5-8350U-1-90GHz-RAM-16-GB-512-GB-SSD-GPU-Intel-UHD-Graphics-620-Used_4f4083b6-7d9a-44c1-aad9-c3fc6811a86f.b24943cc52a73b73fc42b943faa6937f.jpeg,239.99,USD
laptop,1,33,5TZVN9I1X2F6,Laptop Computers,"HP 14-dq0000 14"" Notebook - HD - 1366 x 768 - Intel Celeron N4020 Dual-core (2 Core) 1.10 GHz - 4 GB RAM - 64 GB Flash Memory - Pale Rose Gold, Natural Silver 14-dq0030nr",HP,3.9,,"<ul><li><b>Overview | Do more from anywhere. All-day long.</b><br><br>Stay connected to what matters most with long-lasting battery life and thin and portable, micro-edge bezel design. Built to keep you productive and entertained from anywhere, the HP 14"" diagonal laptop features reliable performance and an expansive display - letting you stream, surf and speed through tasks from sun up to sun down.<br><br><b>Take it anywhere. See more.</b><br><br>With its thin and light design, 6.5 mm microedge bezel display, with its 78% screen to body ratio - take this PC anywhere and see and do more.<br><br><b>Powered up and productive. All day long.</b><br><br>With a long battery life and fast-charge technology, this laptop lets you work, watch, and stay connected all day. Integrated precision touchpad with multi-touch support speeds up both navigation and productivity.<br><br><b>Reliable performance for every day</b><br><br>Powerful enough for your busiest days, this PC features an Intel® processor and reliable flash-based storage at a great value.<br><br><b>Features | Windows 10 in S Mode</b><br><br>Experience the most secure Windows ever built. With fast boot times, increased responsiveness, and added protection against phishing and malicious software, applications run more smoothly.<br><br><b>Intel® Celeron processor</b><br><br>The perfect combination of performance, power consumption, and value helps your device run smoothly and reliably. Easily browse and download with up to four processing cores and Wi-Fi 6 options -all to meet your multitasking needs.<br><br><b>Brilliant BrightView panel</b><br><br>Perfect for an ideal indoor experience, get a bright, clear picture for all your videos, photos, and documents.<br><br><b>64 GB eMMC storage</b><br><br>An embedded Multimedia Card provides reliable fash-based storage at a great value. And without the moving parts of a traditional hard drive, theres a lower chance of failure and damage.<br><br><b>Wi-Fi 5 (1x1) &amp; Bluetooth® 4.2 (802.11a/b/g/n/ac)</b><br><br>Stay connected to Wi-Fi and to Bluetooth® accessories with wireless technology.<br><br><b>MU-MIMO supported</b><br><br>If you have several MU-MIMO devices in your home, MU-MIMO support works in combination with a MUMIMO router to maximize network traffic for a smoother online experience.</li></ul><p></p>",https://i5.walmartimages.com/seo/HP-14-dq0000-14-Notebook-HD-1366-x-768-Intel-Celeron-N4020-Dual-core-2-Core-1-10-GHz-4-GB-RAM-64-Flash-Memory-Pale-Rose-Gold-Natural-Silver-14-dq0030_34e60136-481a-468e-a56e-63b171bb4826.3931fa26f842dff9f34352be8b51f21d.jpeg,217,USD
laptop,1,21,6ALZG8B5YFUU,Laptop Computers,"HP Laptop, 15.6"" diagonal HD Display, Intel Pentium Gold 6405U Processor, 16GB RAM, 1TB SSD, Intel UHD Graphics, Bluetooth 4.2, Wi-Fi, Windows 10 Home S Mode",HP,4.6,,"<p>Product Description</p>

<p>Statement:</p>

<p>Original Seal is opened for upgrade ONLY. If the computer has modifications, then the manufacturer box is opened for it to be tested and inspected and to install the upgrades to achieve the specifications as advertised.</p>

<p>Brand:</p>

<p>HP</p>

<p>Type:</p>

<p>Notebook</p>

<p>Operating System:</p>

<p>Windows 10 Home in S Mode</p>

<p>Processor:</p>

<p>Intel Pentium Gold 6405U</p>

<p>Processor Core:</p>

<p>2-Core</p>

<p>Graphics:</p>

<p>Integrated Intel UHD Graphics 605</p>

<p>Memory:</p>

<p>16GB RAM</p>

<p>Hard Drive:</p>

<p>1TB Solid State Drive</p>

<p>Type of Memory (RAM):</p>

<p>DDR4 2400</p>

<p>Communication:</p>

<p>Wi-Fi and Bluetooth 4.2</p>

<p>Network:</p>

<p>Integrated 10/100/1000 GbE LAN</p>

<p>Display:</p>

<p>15.6"" diagonal HD SVA BrightView micro-edge WLED-backlit, 220 nits, 45% NTSC (1366 x 768)</p>

<p>Ports:</p>

<p>1x USB 3.1 Gen 1 Type-C (Data Transfer Only, 5 Gb/s signaling rate)</p>

<p>2x USB 3.1 Gen 1 Type-A (Data Transfer Only)</p>

<p>1x RJ-45</p>

<p>1x AC smart pin</p>

<p>1x HDMI</p>

<p>1x Headphone/Microphone combo</p>

<p>Dimensions:</p>

<p>14.11 x 9.52 x 0.78 in</p>

<p>Weight:</p>

<p>3.93  lbs</p>",https://i5.walmartimages.com/seo/HP-Laptop-15-6-diagonal-HD-Display-Intel-Pentium-Gold-6405U-Processor-16GB-RAM-1TB-SSD-UHD-Graphics-Bluetooth-4-2-Wi-Fi-Windows-10-Home-S-Mode_966c3d69-cf93-46e5-b78e-1465537b8ee8.c972e70aef7410b243718967a749e5ae.jpeg,499.99,USD
